Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
BRITISH VIRGIN ISLANDS;79;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;171;166;166;140;151;145;139;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BRUNEI DARUSSALAM;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BULGARIA;3524;3006;3059;2592;2376;2337;2730;3188;3403;3882;4235;4180;4515;5727;4993;3676;3803;3758;3054;3221;3434;4712;4883;5768;5823;3325;4094;5664
BURKINA FASO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BURUNDI;36;35;10;16;27;28;35;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CABO VERDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CAMBODIA;31;38;45;41;49;41;37;45;60;239;568;787;996;786;340;505;710;792;872;956;1194;1434;1752;1995;2038;326;30.5;970
CAMEROON;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CANADA;18206;18973;19111;17648;18366;19183;18359;17705;17739;19596;21099;22731;25163;27034;26203;28893;30445;32267;32996;33526;32265;31278;32730;33440;33064;8971;4954;21400
CAYMAN ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CENTRAL AFRICAN REPUBLIC;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5;6;7;8;11;NULL;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CHAD;NULL;NULL;NULL;NULL;NULL;27;40;23;NULL;NULL;NULL;NULL;NULL;58;66;39;76;79;NULL;NULL;NULL;56;52;NULL;NULL;5.5;13.7;NULL
CHILE;NULL;NULL;NULL;NULL;NULL;1319;1180;1293;1341;1504;1725;1887;2047;1899.5;1909.3;2218.7;2637.6;2837.1;2999;3169;3359;3553;3620;3825;3346;963.4;513.9;2155
CHINA;4520;5061;5324;8426;9232;10473;12133;16602;20222;28853;31026;34524;40954;45844;47656;57386;70250;83182;98185;116593;127860;135130;143035;149720;154632;20334;NULL;NULL
COLOMBIA;1057;929;1071;1093;1098;1235;1381;1277;1177;1405;1553;NULL;2028;2042;2122;2342;2522;3169;3605;3911;3862;3795;4017;4368;4479;1275;3004;4931
COMOROS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CONGO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;161;180;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CONGO, DEMOCRATIC REPUBLIC OF THE;NULL;NULL;NULL;50;50;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;356;424;NULL;NULL;NULL;NULL;NULL;NULL
COOK ISLANDS;6;7;8;8;8;9;9;9;10;12;13;13;13;13;12;12;13;12;12;12;13;14;13.3;14;14;3.7;4.7;9
COSTA RICA;273;283;288;330;353;381;361;364;373;425;487;485;577;528;579;662;717;773;790;798;919;1036;1150;1079;1153;324;588;934
