Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
PARAGUAY;438;426;395;350;269;289;279;250;268;309;341;388;416;428;439;465;524;579;610;649;1215;1308;1584;1181;1216;252;95
PERU;479;584;649;726;694;800;901;1064;1136;1350;1571;1721;1916;2058;2140;2299;2598;2846;3164;3215;3456;3744;4032;4419;4372;897;444
PHILIPPINES;1760;2049;2223;2149;2171;1992;1797;1933;1907;2291;2623;2843;3092;3139;3017;3520;3917;4273;4681;4833;5361;5967;6621;7168;8261;1483;164
POLAND;19215;19410;19520;18780;17950;17400;15000;13980;13720;14290;15200;15670;14975;12960;11890;12470;13350;14840;15800;16000;16728;17471;18258;19622;21158;8418;9722
PORTUGAL;9511;9730;10172;11295;11632;12097;12167;11644;11707;10639;10612;11282;6788;6962;6439;6756;7264;7503;9177;10497;11723;13359;15432;16186;17283;4208;6345
PUERTO RICO;3131;3065;3242;3396;3024;3341;3551;3087;3238;3541;3686;3722;3687;3716;3183;3186;3048;3069;3172;3246;3542;3736;3513;3068;3180;2617.4;2754.7
QATAR;309;327;333;320;357;378;376;587;557;732;913;946;964;1405;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
REUNION;304;350;374;400;394;430;424;426;432;430;409;279;381;396;422;420;471;447;416;406;426;458;508;535;533.6;216.7;251
ROMANIA;2757;3028;2957;2966;3209;3274;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RUSSIAN FEDERATION;NULL;NULL;NULL;NULL;NULL;NULL;19457;21279;20443;19892;19940;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RWANDA;NULL;NULL;NULL;NULL;NULL;104;113;NULL;NULL;NULL;NULL;494;567;607;603;605;835;987;1046;1140;1217;1292;1482;1619;1544;460;480
SABA;10;9.8;10.6;10.6;9.3;9.1;9;10.8;10.3;11;11.5;11;11.7;12;12;12.3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SAINT KITTS AND NEVIS;79;84;88;93;84;73;71;69;91;118;141;139;123;128;83;98;104;104;107;113;118;116;115;125;120;30;20.2
SAINT LUCIA;231;236;248;252;264;270;250;253;277;298;318;303;287;296;278;306;312;307;319;338;345;348;386;395;424;130.7;199
SAINT VINCENT AND THE GRENADINES;60;58;65;67;68;73;71;78;79;87;96;97;90;84;75;72;74;74;72;71;75;79;76;80;84;27;24.2
SAMOA;68;73;68;78;85;88;88;89;92;98;102;110;117;118;122;122;121;126;116;120.4;128;134;146;164;172;23.1;2.6
SAN MARINO;28;30;28;36;34;43;49;46;41;42;50;50;69;115;151;120;156;139;71;75;54;60;78;84;111;58;94
SAO TOME AND PRINCIPE;6.2;6.4;4.8;5.6;5.8;7.1;7.5;9.2;10;10.6;15.8;12.3;11.8;14.5;15.2;8;12.2;NULL;NULL;NULL;25.6;28.9;28.9;33.4;34.9;10.7;15.1
SAUDI ARABIA;3325;NULL;NULL;NULL;NULL;6585;6727;7511;7332;8599;8037;8620;11531;14757;10897;10850;14179;16332;15772;18260;17994;18044;16109;15334;17526;4138;3477
SENEGAL;280;282;314;352;369;389;396;427;495;667;769;866;875;867;810;900;968;962;1063;963;1006.6;1210;1365;NULL;NULL;NULL;NULL
SERBIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;312;339;392;453;469;696;646;645;683;764;810;922;1029;1132;1281;1497;1711;1847;446;871
SERBIA AND MONTENEGRO;228;301;298;283;152;239;351;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SEYCHELLES;121;131;130;128;125;130;130;132;122;121;129;141;161;159;158;175;194;208;230;233;276;303;350;362;384;114.9;183
SIERRA LEONE;13.8;21.9;7.5;12.9;10.6;15.8;24.1;28.4;38.1;43.6;40;33.7;32.2;36;37;39;52;60;81;44;24;55;51;57;63;24;40
SINGAPORE;6070;6048;5894;5122;5604;6062;5857;5855;4703;6553;7079;7588;7957;7778;7488;9161;10390;11098;11899;11864;12052;12913;13903;14673;15119;2086;325
SINT EUSTATIUS;8.8;8.2;8.5;8.6;9.2;9.1;9.7;9.8;10.5;11.1;10.4;9.6;11.6;11.8;12;11.4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SINT MAARTEN (DUTCH PART);460;365;439;458;445;432;403;381;428;475;468;468;469;475;440;443;424;457;467;500;505;528;402;178;320;106;249
SLOVAKIA;903;951;814;896;975;1053;1219;1399;1387;1401;1515;1612;1685;1767;1298;1327;1460;1528;4291;3998;4869;5734;5546;5453;5630;NULL;NULL
SLOVENIA;732;832;974;977;884;1090;1219;1302;1373;1499;1555;1617;1751;1958;1824;2049;2236;2377;2502;2675;3022;3397;3991;4425;4702;1216;1832
SOLOMON ISLANDS;11.8;10.3;13.8;15.8;NULL;5.2;NULL;NULL;6.6;5.6;9.4;11.5;13.7;16.3;18.3;20.5;22.9;23.9;24.4;20.1;21.6;23.2;25.7;27.9;28.9;4.4;0.7
SOMALIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SOUTH AFRICA;4488;4915;4976;5732;5890;5872;5787;6430;6505;6678;7369;8396;9091;9592;7012;8074;8339;9188;9537;9549;8904;10044;10285;10472;10227.5;2802;2256
SOUTH SUDAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SPAIN;32971;34027;39553;41892;45440;46403;48565;50331;50854;52430;55914;58004;58666;57192;52178;52677;56177;57464;60675;64939;68175;75315;81869;82808;83509;18933;31181
SRI LANKA;403;302;366;381;436;400;337;393;501;566;549;560;494;438;448;654;856;1006;1275;1527;1798;2051;2116.4;2334;1914;508;194
STATE OF PALESTINE;NULL;220;210;200;300;310;43;33;37;56;88;123;264;387;396;522;449;490;545;556;432;400;929;985;1110;170;NULL
SUDAN;29;38;30;36;39;38;50;52;52;61;246;328;436;440;420;495;536;575;591;684;741;800;813;836;NULL;NULL;NULL
SURINAME;43;53;61;55;57;57;54;60;82;138;161;154;167;151;151;205;220;240;249;252;228;256;278;NULL;NULL;NULL;NULL
SWEDEN;2310;2376;2388;2573;2595;3828;4108;4276;4268;4676;4883;4729;5224;4555;4899;5183;11567;12372;10980;10522;6482;6782;7054;7440;7616;1957;2990
SWITZERLAND;6946;6730;7039;7185;7154;7821;7455;6868;6530;NULL;7229;7863;8448;8608;8294;8628;8534;8566;8967;9158;9305;10402;11133;11715;11818;3690;4390
SYRIAN ARAB REPUBLIC;815;830;891;1267;1386;2100;2192;2661;2598;3399;3571;4231;4158;5430;6092;8546;5070;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
TAIWAN PROVINCE OF CHINA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
TAJIKISTAN;NULL;NULL;NULL;NULL;1.6;3.8;3.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
TANZANIA, UNITED REPUBLIC OF;285;315;347;450;564;459;501;550;552;566;590;622;692;750;695;754;843;1043;1063;1113;1104;1233;1275;1378;1443;592;922.7
THAILAND;6952;7244;7294;7843;8651;9579;10133;10873;10082;11737;11567;13822;14464;14584;14150;15936;19230;22354;26547;24810;29923;32530;35592;38178;39916;6702;428
TIMOR-LESTE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;14;22;36;44;40;51;58;79;60;61.6;65.6;73.9;74.6;80.8;17.9;5.5
TOGO;53;58;92;69;70;60;57;58;61;83;81;94;86;74;150;202;300;235;327;282;273;338;514;573;876;482;NULL
TONGA;29;27;26;27;31;35;32;37;40;41;42;39;46;50;45.7;47.1;46;47.4;48.2;50.4;53.8;59.1;62.5;54;67.3;9;0.2
TRINIDAD AND TOBAGO;260;266;324;334;358;399;383;384;409;443;463;461;449;437;419;388;431;455;434;412;440;409;395;375;389;95;41
TUNISIA;4120;3885;4263;4718;4832;5058;5387;5064;5114;5998;6378;6550;6762;7050;7797;7828;5746;6999;7352;7163;5359;5724;7052;8299;9429;2012;2475
TÜRKIYE;7083;7966;9040;8960;6893;9586;10783;12790;13341;16826;20273;18916;26122;29792;30187;31364;34654;35698;37795;39811;39478;30289;37601;45768;51192;15894;29925
TURKMENISTAN;218;217;257;300;NULL;3.4;5.2;10.8;8.2;14.8;11.6;5.6;8.2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
TURKS AND CAICOS ISLANDS;79;88;93;111;121;152;166;155;164;173;176;248;265;352;351;281;354;291.7;290.6;358;386;449;416.4;441;487;164.5;405
TUVALU;0.9;1;1;1;1.1;1.1;1.1;1.3;1.4;1.3;1.1;1.1;1.1;1.7;1.6;1.7;1.2;1.1;1.3;1.4;2.4;2.5;2.5;3.1;3.7;0.6;0.04
UGANDA;160;174;175;195;189;193;205;254;305;512;468;539;642;844;807;946;1151;1197;1206;1266;1303;1323;1402;1506;1543;473;513
UKRAINE;3716;3854;7558;6208;4232;6431;9174;10517;12514;15629;17631;18936;23122;25449;20798;21203;21415;23013;24671;12712;12428;13333;14230;14104;13438;3141;3973
UNITED ARAB EMIRATES;2315;2572;2476;2991;3393;3907;4134;5445;5871;6195;7126;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16232;16842;18143;19168;20214;21561;7165;11479
UNITED KINGDOM;21719;22936;23215;23710;23341;23212;20982;22307;22787;25678;28039;30654;30870;30142;29357;28911;30384;30411;31946;33604;35149;37358;39543;38664;39418;10714;6287
UNITED STATES OF AMERICA;43318;46489;47767;46377;48689;51238;46927;43581;41218;46086;49206;50977;56135;58007;55103;60010;63477.416;66966.897;71642.907;75379.354;77773.526;76407.488;77186.746;79745.918;79442;19212;22100.4
UNITED STATES VIRGIN ISLANDS;454;373;393;422;484;546;527;520;538;563;594;571;587;574;563;572;567;619;590;615;642;667;535;381;514;302.7;684.8
URUGUAY;2022;2152;2316;2163;2073;1968;1892;1258;1420;1756;1808;1749;1753;1938;2055;2353;2857;2695;2683;2682;2773;3037;3674;3469;3059;NULL;NULL
UZBEKISTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
VANUATU;44;46;50;52;51;58;53;49;50;61;62;68;81;90.5;100.7;97.2;94;108.2;110;109;90;95.1;109.2;115.6;120.6;22;NULL
VENEZUELA, BOLIVARIAN REPUBLIC OF;700;759;814;685;587;469;584;432;337;486;706;748;756;699;562;526;595;988;986;857;789;601;427;NULL;NULL;NULL;NULL
VIET NAM;NULL;975;1114;978;1211;1383;1599;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7201;7488;7555;NULL;NULL;NULL;NULL;NULL;NULL
YEMEN;61;74;80;88;58;73;76;98;155;274;336;1061;948;1023;1028;1025;829;874;990;1017.5;366.7;NULL;NULL;NULL;NULL;NULL;NULL
ZAMBIA;163;264;341;362;404;457;492;565;413;515;669;757;897;812;710;815;920;859;915;947;932;956;1009;1072;1266;502;554
ZIMBABWE;1363;1577;1281;1986;2101;1868;2068;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
