Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
CAYMAN ISLANDS;361;373;381;404;395;354;334;303;294;260;168;267;292;303;272;288;309;322;345;383;385;385;418;463;503;122;17.3
CENTRAL AFRICAN REPUBLIC;26;21;17;7.5;10;11.2;9.9;2.9;5.7;8.2;12;13.8;17.1;30.6;52.4;53.8;65.4;70.8;83.5;95.7;120.5;82;107;109;87;34.6;NULL
CHAD;19;20;27;41;46;43;57;32;21;26;29;46;77;61;70;71;77;86;97;119;120;98;87;77;79;11;40
CHILE;1540;1450;1644;1759;1632;1742;1723;1412;1614;1785;2027;2253;2507;2710;2760;2801;3137;3554;3576;3674;4478;5641;6450;5723;4518;1119.1;190
CHINA;20034;22765;23770;25073;27047;31229;33167;36803;32970;41761;46809;49913;54720;53049;50875;55664;57581;57725;55686;55622;56886;59270;60740;62900;65725;7967;NULL
COLOMBIA;1399;631;639;674;546;557;616;567;625;791;933;2045;2254;2317;2364;1405;2043;2180;2288;2552;3099;3370;3712;4020;4169;1262;2155
COMOROS;23;24;26;27;24;24;19.4;18.9;20.6;23.3;25.9;28.5;15.2;14.8;11.3;15.3;18.8;22.8;21.9;22.8;23.6;26.8;28;35.9;45.1;7;28.8
CONGO;37;39;27;20;14;19;27;22;23;31;35;46;55;62;94;194;218;256;343;226;220;211;149;156;NULL;NULL;NULL
CONGO, DEMOCRATIC REPUBLIC OF THE;35;37;30;53;80;103;55;28;35;36;61;55;47;50;53;81;186;167;191;334;354;351;NULL;NULL;NULL;NULL;NULL
COOK ISLANDS;48;48;50;49;56;73;75;73;78;83;88;92;97;95;101;104;113;122;121;122;125;146;161;169;172;25.2;26.3
COSTA RICA;785;781;811;943;1032;1088;1131;1113;1239;1453;1679;1725;1980;2089;1923;2100;2192;2343;2428;2527;2660;2925;2960;3017;3139;1012;1347
COTE D´IVOIRE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CROATIA;1485;2914;4178;4499;3805;5831;6544;6944;7409;7912;7743;7988;8559;8665;8694;9111;9927;10369;10948;11623;12683;13809;15593;16645;17353;5545;10641
CUBA;742;999;1153;1390;1561;1741;1736;1656;1847;2017;2261;2150;2119;2316;2405;2507;2688;2823;2839;2981;3506;3975;4594;4684;4263;1085;355.5
CURAÇAO;224;214;205;199;198;191;205;218;221;223;222;234;300;409;367;342;390;421;441;452;468;441;399;432;464;175;265
CYPRUS;2100;1950;2088;2223;2434;2686;2697;2418;2303;2349;2470;2401;2416;2404;2141;2173;2392;2465;2405;2441;2659;3187;3652;3939;3977;632;1937
CZECH REPUBLIC (CZECHIA);3381;4558;4976;5482;5610;4773;5405;4743;7641;9047;9404;9539;9370;9373;8848;8629;9019;10123;10300;10649;11619;12808;13665;14282.6;14651;3919.4;NULL
DENMARK;NULL;2125;2158;2073;2023;3535;3684;3436;3474;4421;9178;9256;9284;9016;8547;8744;7864;8443;8557;10267;10424;10781;12426;12749;14761;6264;7588
DJIBOUTI;21;20;20;21;21;20.1;21.6;22.5;23.2;26.3;30.2;39.5;40;54;58;51;56;60;63;NULL;NULL;NULL;133;142;167;75;114
DOMINICA;60;63;65;66;74;70;66;69;73;80;79;84;81;81;75;77;76;79;78;81.5;75;78;72;63;90;22;15
DOMINICAN REPUBLIC;1776;1926;2211;2309;2649;2978;2882;2811;3282;3450;3691;3965;3980;3980;3992;4125;4306;4563;4690;5141.4;5600;5959.3;6188;6569;6446;2405;4994
ECUADOR;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
EGYPT;2871;3528;3656;3213;4490;5116;4357;4906;5746;7795;8244;8646;10610;12296;11914;14051;9497;11196;9174;9628.3;9139;5258;8157;11196;12876;NULL;NULL
EL SALVADOR;235;283;387;542;658;795;735;798;720;951;1127;1279;1339;1385;1091;1150;1184;1255;1283;1345;1402;1434;1556;1677.3;1766;549;1219
EQUATORIAL GUINEA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
